country,code,year,consumption_twh,time
Afghanistan,,,27.13513,2021
Albania,,,40.252644,2021
Algeria,DZA,2023,705.00275,2023
Angola,,,96.311485,2021
Antigua and Barbuda,,,2.7469301,2021
Argentina,ARG,2023,1019.7412,2023
Armenia,,,49.357056,2021
Australia,AUS,2023,1672.4558,2023
Austria,AUT,2023,384.8108,2023
Azerbaijan,AZE,2023,227.84868,2023
Bahamas,,,14.459775,2021
Bahrain,,,235.74854,2021
Bangladesh,BGD,2023,508.48926,2023
Barbados,,,6.475003,2021
Belarus,BLR,2023,296.0661,2023
Belgium,BEL,2023,642.0631,2023
Belize,,,2.9753036,2021
Benin,,,32.294933,2021
Bhutan,,,21.603115,2021
Bolivia,,,85.30703,2021
Bosnia and Herzegovina,,,75.275955,2021
Botswana,,,24.29339,2021
Brazil,BRA,2023,3853.7146,2023
Brunei,,,45.993755,2021
Bulgaria,BGR,2023,199.26738,2023
Burkina Faso,,,19.995071,2021
Burundi,,,3.6886592,2021
Cambodia,,,66.93809,2021
Cameroon,,,43.344273,2021
Canada,CAN,2023,3874.8867,2023
Cape Verde,,,4.2622404,2021
Central African Republic,,,1.561469,2021
Chad,,,6.2046566,2021
Chile,CHL,2023,504.06754,2023
China,CHN,2023,47427.562,2023
Colombia,COL,2023,626.48535,2023
Comoros,,,1.342369,2021
Congo,,,13.7025585,2021
Costa Rica,,,61.628967,2021
Cote d'Ivoire,,,65.13984,2021
Croatia,HRV,2023,101.16221,2023
Cuba,,,103.89113,2021
Cyprus,CYP,2023,32.0958,2023
Czechia,CZE,2023,423.37268,2023
Democratic Republic of Congo,,,39.40167,2021
Denmark,DNK,2023,195.52307,2023
Djibouti,,,3.0790696,2021
Dominica,,,0.76402795,2021
Dominican Republic,,,111.04068,2021
East Timor,,,2.1339822,2021
Ecuador,ECU,2023,234.30986,2023
Egypt,EGY,2023,1093.7637,2023
El Salvador,,,44.681767,2021
Equatorial Guinea,,,20.266384,2021
Eritrea,,,3.3107688,2021
Estonia,EST,2023,55.5125,2023
Eswatini,,,7.131119,2021
Ethiopia,,,104.836815,2021
Fiji,,,8.527583,2021
Finland,FIN,2023,332.15573,2023
France,FRA,2023,2406.6328,2023
French Guiana,,,0,2021
Gabon,,,18.752058,2021
Gambia,,,2.458489,2021
Georgia,,,78.29672,2021
Germany,DEU,2023,3169.5498,2023
Ghana,,,114.36937,2021
Greece,GRC,2023,305.181,2023
Greenland,,,3.5740314,2021
Grenada,,,1.1754613,2021
Guatemala,,,100.58174,2021
Guinea,,,17.34148,2021
Guinea-Bissau,,,1.3957903,2021
Guyana,,,11.014605,2021
Haiti,,,11.801085,2021
Honduras,,,52.285263,2021
Hungary,HUN,2023,252.93295,2023
Iceland,ISL,2023,62.83699,2023
India,IND,2023,10837.855,2023
Indonesia,IDN,2023,2807.7332,2023
Iran,IRN,2023,3531.116,2023
Iraq,IRQ,2023,697.72046,2023
Ireland,IRL,2023,180.76672,2023
Israel,ISR,2023,309.45895,2023
Italy,ITA,2023,1651.4344,2023
Jamaica,,,34.59914,2021
Japan,JPN,2023,4834.3735,2023
Jordan,,,102.37639,2021
Kazakhstan,KAZ,2023,828.0857,2023
Kenya,,,103.50374,2021
Kiribati,,,0.31533784,2021
Kosovo,,,27.883156,2021
Kuwait,KWT,2023,438.11267,2023
Kyrgyzstan,,,60.542263,2021
Laos,,,139.94064,2021
Latvia,LVA,2023,40.232597,2023
Lebanon,,,105.31844,2021
Lesotho,,,4.8659377,2021
Liberia,,,5.528998,2021
Libya,,,190.40862,2021
Lithuania,LTU,2023,66.32199,2023
Luxembourg,LUX,2023,37.545822,2023
Madagascar,,,14.678847,2021
Malawi,,,9.248383,2021
Malaysia,MYS,2023,1335.3104,2023
Maldives,,,9.214026,2021
Mali,,,25.59745,2021
Malta,,,39.150482,2021
Mauritania,,,18.407001,2021
Mauritius,,,25.62087,2021
Mexico,MEX,2023,2348.0437,2023
Micronesia (country),,,0.7226543,2021
Moldova,,,49.003654,2021
Mongolia,,,75.01601,2021
Montenegro,,,11.891775,2021
Morocco,MAR,2023,271.28104,2023
Mozambique,,,71.891975,2021
Myanmar,,,164.88298,2021
Namibia,,,22.134443,2021
Nauru,,,0.27083334,2021
Nepal,,,48.285286,2021
Netherlands,NLD,2023,954.5236,2023
New Caledonia,,,20.146666,2021
New Zealand,NZL,2023,239.13474,2023
Nicaragua,,,29.219433,2021
Niger,,,10.34748,2021
Nigeria,,,543.7368,2021
North Korea,,,99.5751,2021
North Macedonia,MKD,2023,33.529747,2023
Norway,NOR,2023,553.08405,2023
Oman,OMN,2023,430.09467,2023
Pakistan,PAK,2023,936.7015,2023
Palestine,,,20.529442,2021
Panama,,,117.77596,2021
Papua New Guinea,,,21.12761,2021
Paraguay,,,105.80124,2021
Peru,PER,2023,343.82352,2023
Philippines,PHL,2023,609.21356,2023
Poland,POL,2023,1143.4487,2023
Portugal,PRT,2023,263.4581,2023
Puerto Rico,,,78.72069,2021
Qatar,QAT,2023,616.20874,2023
Romania,ROU,2023,354.46216,2023
Russia,RUS,2023,8691.993,2023
Rwanda,,,6.3453274,2021
Saint Kitts and Nevis,,,0.9955214,2021
Saint Lucia,,,2.4433672,2021
Saint Vincent and the Grenadines,,,0.8603289,2021
Samoa,,,1.5975583,2021
Sao Tome and Principe,,,0.7385749,2021
Saudi Arabia,SAU,2023,3221.731,2023
Senegal,,,42.279724,2021
Serbia,,,201.68896,2021
Seychelles,,,4.891292,2021
Sierra Leone,,,4.1479893,2021
Singapore,SGP,2023,964.022,2023
Slovakia,SVK,2023,186.63306,2023
Slovenia,SVN,2023,72.429436,2023
Solomon Islands,,,1.3393546,2021
Somalia,,,3.7102253,2021
South Africa,ZAF,2023,1348.0829,2023
South Korea,KOR,2023,3453.8945,2023
South Sudan,,,7.8676186,2021
Spain,ESP,2023,1572.863,2023
Sri Lanka,LKA,2023,99.308914,2023
Sudan,,,105.80567,2021
Suriname,,,12.43448,2021
Sweden,SWE,2023,597.5023,2023
Switzerland,CHE,2023,314.64438,2023
Syria,,,117.437904,2021
Taiwan,TWN,2023,1258.005,2023
Tajikistan,,,74.83101,2021
Tanzania,,,57.700302,2021
Thailand,THA,2023,1390.8123,2023
Togo,,,9.645073,2021
Tonga,,,0.7102787,2021
Trinidad and Tobago,TTO,2023,163.84969,2023
Tunisia,,,116.7936,2021
Turkey,TUR,2023,1945.299,2023
Turkmenistan,TKM,2023,444.95142,2023
Tuvalu,,,0,2021
Uganda,,,35.162792,2021
Ukraine,UKR,2023,616.6392,2023
United Arab Emirates,ARE,2023,1425.9159,2023
United Kingdom,GBR,2023,1930.5928,2023
United States,USA,2023,26189.2,2023
Uruguay,,,62.75864,2021
Uzbekistan,UZB,2023,584.52094,2023
Vanuatu,,,0.94385636,2021
Venezuela,VEN,2023,703.17255,2023
