country,code,year,area,time
Afghanistan,AFG,2021,652230,2021
Albania,ALB,2021,27400,2021
Algeria,DZA,2021,2381741,2021
Andorra,AND,2021,470,2021
Angola,AGO,2021,1246700,2021
Antigua and Barbuda,ATG,2021,440,2021
Argentina,ARG,2021,2736690,2021
Armenia,ARM,2021,28470,2021
Australia,AUS,2021,7692020,2021
Austria,AUT,2021,82520,2021
Azerbaijan,AZE,2021,82650,2021
Bahamas,BHS,2021,10010,2021
Bahrain,BHR,2021,790,2021
Bangladesh,BGD,2021,130170,2021
Barbados,BRB,2021,430,2021
Belarus,BLR,2021,202950,2021
Belgium,BEL,2021,30280,2021
Belize,BLZ,2021,22810,2021
Benin,BEN,2021,112760,2021
Bhutan,BTN,2021,38140,2021
Bolivia,BOL,2021,1083300,2021
Bosnia and Herzegovina,BIH,2021,51200,2021
Botswana,BWA,2021,566730,2021
Brazil,BRA,2021,8358140,2021
Brunei,BRN,2021,5270,2021
Bulgaria,BGR,2021,108560,2021
Burkina Faso,BFA,2021,273600,2021
Burundi,BDI,2021,25680,2021
Cambodia,KHM,2021,176520,2021
Cameroon,CMR,2021,472710,2021
Canada,CAN,2021,8788700,2021
Cape Verde,CPV,2021,4030,2021
Central African Republic,CAF,2021,622980,2021
Chad,TCD,2021,1259200,2021
Chile,CHL,2021,743532,2021
China,CHN,2021,9388210,2021
Colombia,COL,2021,1109500,2021
Comoros,COM,2021,1861,2021
Congo,COG,2021,341500,2021
Costa Rica,CRI,2021,51060,2021
Cote d'Ivoire,CIV,2021,318000,2021
Croatia,HRV,2021,55960,2021
Cuba,CUB,2021,103800,2021
Cyprus,CYP,2021,9240,2021
Czechia,CZE,2021,77186,2021
Democratic Republic of Congo,COD,2021,2267050,2021
Denmark,DNK,2021,40000,2021
Djibouti,DJI,2021,23180,2021
Dominica,DMA,2021,750,2021
Dominican Republic,DOM,2021,47531,2021
East Timor,TLS,2021,14870,2021
Ecuador,ECU,2021,248360,2021
Egypt,EGY,2021,995450,2021
El Salvador,SLV,2021,20720,2021
Equatorial Guinea,GNQ,2021,28050,2021
Eritrea,ERI,2021,121040,2021
Estonia,EST,2021,42750,2021
Eswatini,SWZ,2021,17200,2021
Ethiopia,ETH,2021,1128571,2021
Fiji,FJI,2021,18270,2021
Finland,FIN,2021,303947,2021
France,FRA,2021,547557,2021
Gabon,GAB,2021,257670,2021
Gambia,GMB,2021,10120,2021
Georgia,GEO,2021,69490,2021
Germany,DEU,2021,349390,2021
Ghana,GHA,2021,227533,2021
Greece,GRC,2021,128900,2021
Greenland,GRL,2021,410450,2021
Grenada,GRD,2021,340,2021
Guatemala,GTM,2021,107160,2021
Guinea,GIN,2021,245720,2021
Guinea-Bissau,GNB,2021,28120,2021
Guyana,GUY,2021,196850,2021
Haiti,HTI,2021,27560,2021
Honduras,HND,2021,111890,2021
Hungary,HUN,2021,91260,2021
Iceland,ISL,2021,100830,2021
India,IND,2021,2973190,2021
Indonesia,IDN,2021,1892555,2021
Iran,IRN,2021,1622500,2021
Iraq,IRQ,2021,434128,2021
Ireland,IRL,2021,68890,2021
Israel,ISR,2021,21640,2021
Italy,ITA,2021,295717,2021
Jamaica,JAM,2021,10830,2021
Japan,JPN,2021,364500,2021
Jordan,JOR,2021,88794,2021
Kazakhstan,KAZ,2021,2699700,2021
Kenya,KEN,2021,569140,2021
Kiribati,KIR,2021,810,2021
Kuwait,KWT,2021,17820,2021
Kyrgyzstan,KGZ,2021,191800,2021
Laos,LAO,2021,230800,2021
Latvia,LVA,2021,62230,2021
Lebanon,LBN,2021,10230,2021
Lesotho,LSO,2021,30360,2021
Liberia,LBR,2021,96320,2021
Libya,LBY,2021,1759540,2021
Liechtenstein,LIE,2021,160,2021
Lithuania,LTU,2021,62610,2021
Luxembourg,LUX,2021,2574,2021
Madagascar,MDG,2021,581800,2021
Malawi,MWI,2021,94280,2021
Malaysia,MYS,2021,328550,2021
Maldives,MDV,2021,300,2021
Mali,MLI,2021,1220190,2021
Malta,MLT,2021,320,2021
Marshall Islands,MHL,2021,180,2021
Mauritania,MRT,2021,1030700,2021
Mauritius,MUS,2021,1997,2021
Mexico,MEX,2021,1943950,2021
Micronesia (country),FSM,2021,700,2021
Moldova,MDA,2021,32970,2021
Monaco,MCO,2021,2,2021
Mongolia,MNG,2021,1557507,2021
Montenegro,MNE,2021,13450,2021
Morocco,MAR,2021,446300,2021
Mozambique,MOZ,2021,786380,2021
Myanmar,MMR,2021,652670,2021
Namibia,NAM,2021,823290,2021
Nauru,NRU,2021,20,2021
Nepal,NPL,2021,143350,2021
Netherlands,NLD,2021,33670,2021
New Caledonia,NCL,2021,18280,2021
New Zealand,NZL,2021,263310,2021
Nicaragua,NIC,2021,120340,2021
Niger,NER,2021,1266700,2021
Nigeria,NGA,2021,910770,2021
